 │ ✔  Shell docker run --rm lstm-lm (Run the Docker container to start the training process with the updated dependencies and data loading logic.)                                                                                          │
 │                                                                                                                                                                                                                                          │
 │    ... first 98 lines hidden ...                                                                                                                                                                                                         │
 │    | Batch 2100 | Loss  6.24 | Perplexity 512.34                                                                                                                                                                                         │
 │    | Batch 2200 | Loss  6.30 | Perplexity 542.39                                                                                                                                                                                         │
 │    | Batch 2300 | Loss  6.27 | Perplexity 530.15                                                                                                                                                                                         │
 │    | Batch 2400 | Loss  6.21 | Perplexity 495.64                                                                                                                                                                                         │
 │    | Batch 2500 | Loss  6.15 | Perplexity 466.81                                                                                                                                                                                         │
 │    | Batch 2600 | Loss  6.20 | Perplexity 491.93                                                                                                                                                                                         │
 │    | Batch 2700 | Loss  6.26 | Perplexity 521.84                                                                                                                                                                                         │
 │    | Batch 2800 | Loss  6.32 | Perplexity 554.27                                                                                                                                                                                         │
 │    | Batch 2900 | Loss  6.26 | Perplexity 522.90                                                                                                                                                                                         │
 │    | Batch 3000 | Loss  6.31 | Perplexity 547.80                                                                                                                                                                                         │
 │    | Batch 3100 | Loss  6.25 | Perplexity 515.78                                                                                                                                                                                         │
 │    | Batch 3200 | Loss  6.23 | Perplexity 507.39                                                                                                                                                                                         │
 │    | Batch 3300 | Loss  6.21 | Perplexity 496.99                                                                                                                                                                                         │
 │    | Batch 3400 | Loss  6.18 | Perplexity 481.28                                                                                                                                                                                         │
 │    -----------------------------------------------------------------------------------------                                                                                                                                             │
 │    | End of Epoch   3 | Time: 838.21s | Valid Loss  6.26 | Valid PPL 522.14                                                                                                                                                              │
 │    -----------------------------------------------------------------------------------------                                                                                                                                             │
 │    | Batch 100 | Loss  6.27 | Perplexity 530.12                                                                                                                                                                                          │
 │    | Batch 200 | Loss  6.18 | Perplexity 483.83                                                                                                                                                                                          │
 │    | Batch 300 | Loss  6.17 | Perplexity 475.86                                                                                                                                                                                          │
 │    | Batch 400 | Loss  6.25 | Perplexity 517.80                                                                                                                                                                                          │
 │    | Batch 500 | Loss  6.15 | Perplexity 467.73                                                                                                                                                                                          │
 │    | Batch 600 | Loss  6.12 | Perplexity 455.91                                                                                                                                                                                          │
 │    | Batch 700 | Loss  6.06 | Perplexity 430.40                                                                                                                                                                                          │
 │    | Batch 800 | Loss  6.17 | Perplexity 475.96                                                                                                                                                                                          │
 │    | Batch 900 | Loss  6.18 | Perplexity 485.41                                                                                                                                                                                          │
 │    | Batch 1000 | Loss  6.09 | Perplexity 443.61                                                                                                                                                                                         │
 │    | Batch 1100 | Loss  6.04 | Perplexity 421.38                                                                                                                                                                                         │
 │    | Batch 1200 | Loss  6.07 | Perplexity 432.99                                                                                                                                                                                         │
 │    | Batch 1300 | Loss  6.09 | Perplexity 440.60                                                                                                                                                                                         │
 │    | Batch 1400 | Loss  6.16 | Perplexity 475.00                                                                                                                                                                                         │
 │    | Batch 1500 | Loss  6.20 | Perplexity 490.39                                                                                                                                                                                         │
 │    | Batch 1600 | Loss  6.19 | Perplexity 485.45                                                                                                                                                                                         │
 │    | Batch 1700 | Loss  6.19 | Perplexity 489.20                                                                                                                                                                                         │
 │    | Batch 1800 | Loss  6.23 | Perplexity 509.40                                                                                                                                                                                         │
 │    | Batch 1900 | Loss  6.18 | Perplexity 484.38                                                                                                                                                                                         │
 │    | Batch 2000 | Loss  6.10 | Perplexity 447.59                                                                                                                                                                                         │
 │    | Batch 2100 | Loss  6.14 | Perplexity 461.96                                                                                                                                                                                         │
 │    | Batch 2200 | Loss  6.18 | Perplexity 485.24                                                                                                                                                                                         │
 │    | Batch 2300 | Loss  6.16 | Perplexity 474.45                                                                                                                                                                                         │
 │    | Batch 2400 | Loss  6.10 | Perplexity 445.58                                                                                                                                                                                         │
 │    | Batch 2500 | Loss  6.04 | Perplexity 419.20                                                                                                                                                                                         │
 │    | Batch 2600 | Loss  6.10 | Perplexity 444.92                                                                                                                                                                                         │
 │    | Batch 2700 | Loss  6.15 | Perplexity 468.35                                                                                                                                                                                         │
 │    | Batch 2800 | Loss  6.20 | Perplexity 495.11                                                                                                                                                                                         │
 │    | Batch 2900 | Loss  6.14 | Perplexity 465.74                                                                                                                                                                                         │
 │    | Batch 3000 | Loss  6.20 | Perplexity 494.43                                                                                                                                                                                         │
